Genome	Species	FlagForPhylo
B.amyloliquefaciens	Bam	Y
B.anthracis.A0039	Ban	N
B.anthracis.AmesAncestor	Ban	N
B.anthracis.Ames	Ban	Y
B.anthracis.CNEVA9066	Ban	N
B.anthracis.KrugerB	Ban	N
B.anthracis.Sterne	Ban	N
B.anthracis.USA6153	Ban	N
B.anthracis.Vollum	Ban	N
B.cereus.ATCC10987	Bce	N
B.cereus.ATCC14579	Bce	Y
B.cereus.E33L	Bce	N
B.claussi	Bcl	Y
B.halodurans	Bha	Y
B.licheniformis	Bli	Y
B.mojavensis	Bmo	Y
B.pumilus	Bpu	Y
B.subtilis168	Bsu	Y
B.thuringiensis	Bth	Y
B.weihenstephanensis	Bwe	Y
C.acetobutylicum	Cac	N
C.dificile	Cdi	N
C.perfringens	Cpe	N
C.tetani	Cte	N
D.desulfuricans	Dde	N
D.hafniense	Dha	N
D.psychrophila	Dps	N
D.vulgaris	Dvu	N
E.coliK12	Eco	N
G.kaustophilus	Gka	N
L.monocytogenes	Lmo	N
M.thermoacetica	Mth	N
O.iheyensisHTE831	Oih	N
S.aureus	Sau	N
