BG12557	AccA
BG11383	AccB
BG11384	AccC
BG13926	AccD
BG11536	AcpA
BG12089	AcpS
BG10446	Adk
BG12563	AlaS
BG10950	Alr
BG11341	ArgS
BG10783	Asd
BG10958	AsnS
BG12572	AspS
BG11206	BirA
BG11208	Cca
BG12575	CdsA
BG11004	Cmk
BG14009	Csd
BG11802	CspR
BG10156	CysS
BG10785	DapA
BG11207	DapB
BG14048	DapF
BG11932	Ddl
BG10795	DfrA
BG10229	DivIB
BG10125	DivIC
BG10065	DnaA
BG10358	DnaB
BG10004	DnaC
BG10957	DnaD
BG12583	DnaE
BG10313	DnaG
BG10359	DnaI
BG10066	DnaN
BG10083	DnaX
BG13409	Dxr
BG11715	Dxs
BG10899	Eno
BG11188	Era
BG11836	FabD
BG13128	FabF
BG11535	FabG
BG10412	FbaA
BG10830	Ffh
BG11937	Fmt
BG11711	FolD
BG12587	Frr
BG10231	FtsA
BG10220	FtsL
BG13352	FtsW
BG11539	FtsY
BG10232	FtsZ
BG11939	FusA
BG12839	GatA
BG12840	GatB
BG12838	GatC
BG10113	GcaD
BG12202	Gcp
BG10948	GlmS
BG10154	GltX
BG10944	GlyA
BG11657	GlyQ
BG11658	GlyS
BG13386	Gmk
BG11366	GpsA
BG10423	GroEL
BG10422	GroES
BG10073	GuaB
BG10071	GyrA
BG10070	GyrB
BG10276	Hbs
BG10279	HepS
BG10281	HepT
BG12605	HisS
BG10095	HolB
BG10131	HprT
BG11792	IleS
BG11043	InfA
BG10268	InfB
BG11944	InfC
BG10109	IspE
BG10676	LeuS
BG12835	LigA
BG10144	LysS
BG10447	Map
BG10552	MenA
BG10686	MenB
BG13847	MenC
BG10683	MenD
BG10687	MenE
BG10280	MenH
BG11840	MetK
BG10101	MetS
BG10224	MraY
BG10326	MreB
BG10327	MreC
BG12355	MrpA
BG12356	MrpB
BG12357	MrpC
BG12345	MrpD
BG12344	MrpF
BG11955	MurAA
BG10228	MurB
BG10973	MurC
BG10225	MurD
BG10223	MurE
BG12084	MurF
BG10227	MurG
BG10694	NadE
BG11404	NrdE
BG11405	NrdF
BG10265	NusA
BG10337	Obg
BG10273	OdhB
BG11803	ParC
BG11804	ParE
BG10221	PbpB
BG12834	PcrA
BG10207	PdhA
BG12644	PfkA
BG11062	Pgk
BG10898	Pgm
BG11373	PgsA
BG10874	PheS
BG10875	PheT
BG11843	PlsX
BG10263	PolC
BG10014	PpaC
BG11244	PrfA
BG10742	PrfB
BG11963	PriA
BG12659	ProS
BG10114	Prs
BG10464	PrsA
BG10410	PyrG
BG11964	RacE
BG10531	ResA
BG10532	ResB
BG10533	ResC
BG11537	Rnc
BG10063	RnpA
BG10588	RodA
BG10164	RplA
BG11217	RplB
BG11218	RplC
BG11219	RplD
BG10760	RplE
BG11408	RplF
BG10009	RplI
BG11220	RplJ
BG10726	RplL
BG11970	RplM
BG10758	RplN
BG10444	RplO
BG10755	RplP
BG11041	RplQ
BG11409	RplR
BG12667	RplS
BG11971	RplT
BG10333	RplU
BG11078	RplV
BG11221	RplW
BG10759	RplX
BG10335	RpmA
BG10777	RpmB
BG10756	RpmC
BG10443	RpmD
BG10417	RpmE
BG12668	RpmF
BG14180	RpmGA
BG10160	RpmGB
BG10064	RpmH
BG11972	RpmI
BG11042	RpmJ
BG10732	RpoA
BG10728	RpoB
BG10729	RpoC
BG19004	RpsB
BG19005	RpsC
BG10372	RpsD
BG10442	RpsE
BG10049	RpsF
BG19006	RpsG
BG10762	RpsH
BG19007	RpsI
BG19008	RpsJ
BG10731	RpsK
BG19009	RpsL
BG10730	RpsM
BG10761	RpsN
BG19010	RpsO
BG10831	RpsP
BG10757	RpsQ
BG10047	RpsR
BG19011	RpsS
BG11643	RpsT
BG11648	RpsU
BG10741	SecA
BG10161	SecE
BG10445	SecY
BG10077	SerS
BG10314	SigA
BG11538	Smc
BG10116	SpoVC
BG10048	Ssb
BG10450	TagA
BG10451	TagB
BG10449	TagD
BG10725	TagF
BG11205	TagG
BG11191	TagH
BG12684	TagO
BG11247	Tkt
BG10092	Tmk
BG11007	TopA
BG10897	TpiA
BG12687	TrmD
BG13787	TrmU
BG10799	TrpS
BG10348	TrxA
BG12398	TrxB
BG19025	Tsf
BG11056	TufA
BG10371	TyrS
BG10321	ValS
BG10130	YacA
BG10152	YacM
BG10153	YacN
BG12704	YbbT
BG12199	YdiB
BG12200	YdiC
BG12787	YdiO
BG12788	YdiP
BG12843	YerQ
BG13018	YhdL
BG13021	YhdO
BG11813	YkqC
BG13301	YkuQ
BG13302	YkuR
BG13351	YlaN
BG13392	YloQ
BG13405	YlqF
BG11426	YmaA
BG13420	YmdA
BG11826	YneS
BG11443	YphC
BG10524	YpuG
BG10525	YpuH
BG11636	YqeH
BG11637	YqeI
BG11638	YqeJ
BG11642	YqeN
BG11662	YqfP
BG11671	YqfY
BG11714	YqiD
BG11740	YqjK
BG13809	YrvO
BG10339	YsxC
BG13824	YtaG
BG13966	YueK
BG12391	YumC
BG14007	YurU
BG14008	YurV
BG14010	YurX
BG14011	YurY
BG10403	YvyH
BG10939	YwlC
BG10001	YycF
BG11461	YycG
